APDNW,Applied Dna Sci Wrnt,1.07,1.01,1.04,6100,-0.08,7.14
APEI,American Pub. Edu.,19.66,19.22,19.28,82500,-0.48,2.43
APIC,Apigee Corp Cm ST,17.41,17.38,17.4,322800,-0.01,0.06
APLP,Archrock Partners LP,15.15,14.83,14.91,92700,-0.08,0.53
APOG,Apogee Entrpr Inc,44.14,43.3,43.77,267200,-0.37,0.84
APOL,Apollo Ed Grp A,7.86,7.55,7.71,669900,0.13,1.72
APOP,Cellect Biotechnology Ltd,4.49,4.39,4.44,6900,-0.09,1.99
APOPW,Cellect Biotechnology Ltd,0.8,0.8,0.8,100,0.02,2.56
APPF,Appfolio Cl A Cmn,19.66,19.09,19.17,13900,-0.49,2.49
APPS,Digital Turbine Cmn,1,0.91,0.97,1157300,-0.03,3
APPY,Venaxis Inc,3.76,3.07,3.22,79800,-0.35,9.8
APRI,Apricus Biosc Inc,0.37,0.34,0.34,553200,-0.01,2.86
APTI,Advanced Power Technology Inc.,23.47,21.5,21.5,1208900,-1.05,4.66
APTO,Aptose Bioscns Cmn,2.25,2.05,2.25,4948,0.02,0.89
APVO,Aptevo Therapeutics Inc,2.89,2.7,2.72,287500,-0.07,2.51
APWC,Asia Pac Wire &Cable,2.37,2.17,2.21,1000,-0.2,8.3
AQMS,Aqua Metals Inc Cmn,9.03,8.63,8.7,70000,-0.29,3.23
AQXP,Aquinox Pharmaceutic,15,14.31,14.38,237800,-0.39,2.64
ARAY,Accuray Incorporated,5.64,5.52,5.53,294000,-0.13,2.3
ARCB,Arcbest Corp,19.16,18.8,18.81,107900,-0.31,1.62
ARCC,Ares Capital Corp,15.56,15.38,15.44,1370000,-0.13,0.83
ARCI,Applnc Rcycl Ct Amer,0.98,0.95,0.95,7900,-0.03,3.06
ARCW,Arc Group Worldwide,3.73,3.41,3.62,40900,0.28,8.38
ARDM,Aradigm Corp Cmn,6.89,6.49,6.67,65200,0.17,2.62
ARDX,Ardelyx Inc Cmn,12.42,12.14,12.27,152600,-0.04,0.32
AREX,Approach Res. Inc,2.96,2.76,2.86,900800,0.03,1.06
ARGS,Argos Therapeutics,4.85,4.56,4.63,247500,-0.21,4.34
ARIA,Ariad Pharm Inc,14.01,13.61,13.96,6321300,0.44,3.25
ARII,American Railcar Ind,39.08,38.54,38.95,123600,-0.02,0.05
ARIS,Ari Network Svcs,4.56,4.5,4.52,26500,-0.02,0.44
ARKR,Ark Restaurants Cp,22.61,22.25,22.37,3700,-0.24,1.06
ARLP,Alliance Resource Pt,21.57,21.18,21.54,170800,0.33,1.56
ARLZ,Aralez Pharm Inc,5.35,4.99,5.05,928400,-0.27,5.08
ARMH,Arm Holdings Plc,67.93,67.43,67.77,2112900,0.33,0.49
ARNA,Arena Pharmaceutical,1.77,1.73,1.73,713400,-0.01,0.57
AROW,Arrow Financial Corp,33.7,32.72,32.74,25900,-0.71,2.12
ARQL,Arqule Inc,1.81,1.6,1.75,250900,0.1,6.06
ARRS,Arris Group Inc,28.56,28.22,28.33,818300,-0.28,0.98
ARRY,Array Biopharma Inc,6.65,4.59,6.61,102231500,2.96,81.1
ARTNA,Artesian Res Cp A,29.58,29,29.05,24700,-0.4,1.36
ARTW,Art S Way MFG Co I,2.93,2.9,2.93,900,0.03,1.03
ARTX,Arotech Corp,3.15,2.97,2.99,70800,-0.04,1.32
ARWA,Arowana Inc Ord,10.19,10.19,10.19,50000,0.08,0.79
ARWAR,Arowana Inc RTS,0.25,0.2,0.24,11200,-0.01,4
ARWAU,Arowana Inc Units,10.32,10.32,10.32,100,0,0
ARWAW,Arowana Inc Wts,0.13,0.12,0.13,400,0.01,8.33
ARWR,Arrowhead Pharma,7.22,7.03,7.04,432800,-0.18,2.49
ASBB,Asb Bancorp Inc,26.05,25.9,26.05,1100,0.95,3.78
ASCMA,Ascent Capital Group,21.67,20.9,21.16,63500,-0.38,1.76
ASEI,Amer Sci Engr,37.05,36.98,37.05,119300,0.06,0.16
ASET,Flxsh Rl As Al Ix Fd,26.74,26.74,26.74,100,-0.28,1.04
ASFI,Asta Funding Inc,9.95,9.35,9.55,6600,-0.43,4.31
ASMB,Assembly Biosciences,8.17,7.73,8.14,19300,0.13,1.62
ASML,Asml Hldg NY Reg,109.2,108.3,108.8,663300,0.2,0.18
ASNA,Ascena Retail Grp Cmn,5.89,5.72,5.74,2450300,-0.14,2.38
ASND,Ascendis Pharma Ads,20.64,19.24,19.87,67000,0.24,1.22
ASPS,Altisource Portfolio,31.64,30.91,30.94,283300,-0.37,1.18
ASRV,Ameriserv Financial,3.31,3.2,3.28,21200,-0.01,0.3
ASRVP,Ameriserv Fin Cap,27.17,26.9,27.17,1000,1.17,4.5
ASTC,Astrotech Corp,1.88,1.65,1.7,74000,-0.12,6.59
